NumID,Player ID,SearchID,Last Name,First Name,Birthplace,Height,Weight,Bats,Throws,Position,BirthYear,BirthMonth,BirthDay
37,,100038,Goto,Tadashi,Japan,173,64,Right,Right,First baseman,1912,8,13
38,,100039,Nishimura,Masao,Japan,163,56,Left,Left,Right fielder,1912,9,1
39,,100040,Aoshiba,Kenichi,Japan,173,64,Right,Right,Pitcher,1912,9,1
40,,100041,Yokozawa,Shichiro,Taiwan,175,64,Right,Right,Third baseman,1913,1,27
41,,100042,Hatafuku,Toshihide,Japan,178,75,Right,Right,Pitcher,1913,1,31
42,,100043,Takatani,Shoji,Japan,,,Right,Right,Center fielder,1913,2,11
43,,100044,Watanabe,Toshio,Japan,168,60,Right,Right,Second baseman,1913,2,11
44,,100045,Nakamura,Shinichi,Japan,160,56,Right,Right,Third baseman,1913,2,22
45,,100046,Kuramoto,Shingo,Japan,168,56,Right,Right,Third baseman,1913,6,9
46,,100047,Kitai,Masao,Japan,,,Right,Right,Pitcher,1913,8,7
47,,100048,Ishihara,Shigezo,Japan,183,72,Right,Right,Pitcher,1914,1,17
48,,100049,Niwa,Toshio,Japan,,,Right,Right,Pitcher,1914,1,20
49,,100050,Sakurai,Shozo,Japan,,,Left,Left,Pitcher,1914,2,8
50,,100051,Asaoka,Saburo,Japan,168,56,Right,Right,Pitcher,1914,2,8
51,,100052,Takahashi,Teruhiko,Japan,,,Right,Right,Third baseman,1914,4,29
52,,100053,Kurosawa,Toshio,Japan,173,68,Left,Left,Left fielder,1914,6,10
53,,100054,Kitaura,Mitsuo,Japan,163,60,Right,Right,Catcher,1914,6,27
54,,100055,Hirota,Shuzo,Japan,168,68,Right,Right,First baseman,1914,8,28
55,,100056,Kaneko,Hiroshi,Japan,170,60,Left,Left,Pitcher,1914,9,9
56,,100057,Nonin,Wataru,Japan,168,56,Right,Right,Shortstop,1915,3,22
57,,100058,Eguchi,Yukio,Japan,168,60,Right,Right,Second baseman,1915,4,4
58,,100059,Watanuki,Soji,Japan,175,64,Right,Right,First baseman,1915,4,6
59,,100060,Ikeda,Junzo,Japan,170,60,Right,Right,Shortstop,1915,5,22
60,,100061,Toda,Kazumasa,Japan,,,,,Left fielder,1915,6,1
61,,100062,Kageura,Masaru,Japan,173,75,Right,Right,Right fielder,1915,7,20
62,,100063,Kikuya,Yoshio,Japan,170,71,Right,Right,Pitcher,1915,8,31
63,,100064,Yamada,Katsusaburo,Japan,168,64,Left,Left,Pitcher,1915,10,1
64,,100065,Ishida,Mitsuhiko,Japan,173,60,Right,Right,Pitcher,1915,10,25
65,,100066,Hayashi,Seiichi,Japan,173,67,Right,Right,Center fielder,1915,10,31
66,,100067,Iwata,Tsuguo,Japan,170,68,Right,Right,Third baseman,1915,11,6
67,,100068,Yasunaga,Seishiro,Japan,,,Right,Right,First baseman,1916,1,5
68,,100069,Misono,Takao,Japan,170,71,Right,Right,Pitcher,1916,1,16
69,,100070,Matsumoto,Kozaburo,Japan,,,Right,Right,Catcher,1916,1,28
70,,100071,Sei,Kiyoshi,Japan,170,60,Right,Right,Shortstop,1916,3,10
71,,100072,Naito,Kozo,Japan,173,65,Right,Left,Pitcher,1916,3,25
72,,100073,Asahara,Naoto,Japan,173,71,Right,Right,First baseman,1916,4,8
73,,100074,Starfin,Victor,Russia,191,90,Right,Right,Pitcher,1916,5,1
74,,100075,Yamaguchi,Masanobu,Japan,178,68,Right,Right,Center fielder,1916,5,5
75,,100076,Nakayama,Takeshi,Japan,173,64,Right,Right,Catcher,1916,5,17
76,,100077,Tsutsui,Yoshitake,Japan,173,68,Right,Right,Catcher,1916,5,27
77,,100078,Fujimura,Fumio,Japan,173,78,Right,Right,Third baseman,1916,8,14
78,,100079,Hidaka,Tokuyuki,Japan,,,Right,Left,Left fielder,1916,8,31
79,,100080,Urushibara,Susumu,Taiwan,170,68,Right,Right,Third baseman,1916,9,6
80,,100081,Otomo,Kazuaki,Japan,163,55,Right,Right,Second baseman,1916,9,16
81,,100082,Yamazaki,Fumikazu,Japan,,,Right,Right,Right fielder,1916,9,28
82,,100083,Fujii,Isamu,Japan,173,71,Left,Left,Left fielder,1916,10,20
83,,100084,Sato,Takeo,Japan,170,60,Right,Right,Catcher,1916,10,21
84,,100085,Mikami,Yoshio,,,,Right,Right,Right fielder,1916,11,1
85,,100086,Yamamoto,Hisatoshi,Japan,168,56,Right,Right,Shortstop,1916,11,15
86,,100087,Ito,Kentaro,Japan,168,71,Right,Right,Left fielder,1916,12,28
87,,100088,Iemura,Sotaro,Japan,170,68,Right,Right,Right fielder,1917,1,5
88,,100089,Katayama,Eiji,Japan,170,56,Right,Right,Pitcher,1917,1,5
89,,100090,Sawamura,Eiji,Japan,173,71,Left,Right,Pitcher,1917,2,1
90,,100091,Nakamura,Kazuo,Japan,,,Right,Right,Third baseman,1917,2,20
91,,100092,Okada,Muneyoshi,Japan,163,56,Right,Right,Shortstop,1917,3,12
92,,100093,Uchibori,Tamotsu,Japan,170,64,Right,Right,Catcher,1917,3,12
93,,100094,Kato,Nobuo,Japan,160,56,Right,Right,Pinch Hitter,1917,4,2
94,,100095,Kito,Kazuo,Japan,168,60,Left,Left,Left fielder,1917,4,25
95,,100096,Igaue,Ryohei,Japan,168,65,Right,Right,Third baseman,1917,4,29
96,,100097,Monzen,Masato,Japan,173,68,Right,Right,Catcher,1917,5,15
97,,100098,Uno,Kinji,Japan,170,68,Right,Right,Second baseman,1917,5,25
98,,100099,Noguchi,Akira,Japan,173,68,Right,Right,Pitcher,1917,8,6
99,,100100,Endo,Chujiro,Japan,173,68,Right,Right,Pitcher,1917,9,20
100,,100101,Tsutsui,Osamu,Japan,173,64,Right,Right,Second baseman,1917,10,12
101,,100102,Sato,Kikuo,Japan,,,Right,Right,Left fielder,1917,10,19
102,,100103,Maruo,Chitoji,Japan,178,68,Right,Right,Pitcher,1917,10,22
103,,100104,Makino,Kiyoshi,Japan,,,Right,Right,Pitcher,1917,11,15
104,,100105,Imaoka,Kenjiro,Japan,170,60,Right,Right,Shortstop,1918,2,13
105,,100106,Shiraishi,Toshio,Japan,168,68,Right,Right,Shortstop,1918,4,15
106,,100107,Hattori,Kazuo,Japan,175,64,Right,Right,Right fielder,1918,5,23
107,,100108,Ban,Yoshio,Japan,163,59,Right,Right,Pinch Hitter,1918,7,6
108,,100109,Kondo,Hisashi,Japan,170,64,Left,Left,Pitcher,1918,7,19
109,,100110,Suzuki,Hideo,Japan,170,62,Switch,Right,Catcher,1918,10,9
110,,100111,Sakurai,Shichinosuke,Japan,170,64,Right,Right,Pitcher,1918,11,4
111,,100112,Okamura,Nobuo,Japan,,,Right,Right,Third baseman,1918,11,16
112,,100113,Suzuki,Minoru,Japan,,,Right,Right,Right fielder,1919,1,3
113,,100114,Yokozawa,Shiro,Japan,173,56,Right,Right,Right fielder,1906,3,10
114,,100115,Yanagisawa,Toichi,Japan,168,64,Right,Right,Third baseman,1908,6,23
115,,100116,Mizuhara,Shigeru,Japan,170,64,Right,Right,Third baseman,1909,1,19
116,,100117,Ito,Jiro,Taiwan,173,68,Right,Right,Pitcher,1910,,
117,,100118,Shimamoto,Yoshifumi,Japan,168,68,Right,Right,Catcher,1911,10,12
118,,100119,Mihara,Osamu,Japan,168,64,Right,Right,Second baseman,1911,11,21
119,,100120,Kojima,Shigeo,Japan,168,68,Right,Right,First baseman,1911,,
120,,100121,Tezuka,Katsumi,Japan,,,Right,Right,Pinch Hitter,1912,8,31
121,,100122,Hoshino,Masao,Japan,170,64,Right,Right,Third baseman,1912,9,27
122,,100123,Tagawa,Hiroshi,Japan,,,Right,Right,Catcher,1912,10,8
123,,100124,Bonna,Jimmy,United States,179,69,Left,Right,Pitcher,1912,,
124,,100125,Kobayashi,Toshizo,Japan,170,60,Right,Right,First baseman,1912,,
125,,100126,Haga,Naokazu,Japan,173,60,Right,Right,Third baseman,1913,6,7
126,,100127,Kojima,Toshio,Japan,170,63,Right,Right,Second baseman,1913,10,12
127,,100128,Tsubouchi,Michinori,Japan,163,60,Right,Right,Center fielder,1914,4,17
128,,100129,Kanai,Kiyoshi,Japan,165,60,Right,Right,Left fielder,1914,,
129,,100130,Matsunaga,Eiichi,Japan,170,68,Right,Right,Catcher,1914,,
130,,100131,Morii,Shigeru,Japan,168,58,Right,Right,Pitcher,1915,4,12
131,,100132,Kosaka,Saburo,Japan,168,56,Right,Right,Second baseman,1915,11,16
132,,100133,Takeda,Isamu,Japan,,,Right,Right,Left fielder,1915,,
133,,100134,Shite,Kiyohiko,Japan,168,56,Right,Right,Right fielder,1916,8,20
134,,100135,Shigematsu,Michio,Japan,178,68,Right,Right,Pitcher,1916,9,16
135,,100136,Nakamura,Tamio,Japan,165,71,Right,Right,Catcher,1917,1,16
136,,100137,Murata,Shigeharu,Japan,168,60,Left,Left,Pitcher,1917,2,9
137,,100138,Narita,Tomosaburo,Japan,170,66,Left,Left,Pitcher,1917,6,6
138,,100139,Gomi,Yoshio,Japan,168,56,Right,Right,Second baseman,1917,11,14
139,,100140,Saito,Suetoshi,Japan,,,Right,Right,Second baseman,1918,7,6
140,,100141,Toguchi,Senichi,Japan,,,Right,Right,Pitcher,1919,2,7
141,,100142,Kato,Tomoo,Japan,,,Left,Left,Pitcher,1919,4,13
142,,100143,Okada,Genzaburo,Japan,170,60,Right,Right,Catcher,1896,3,25
143,,100144,Kawakami,Ryosaku,Japan,,,Right,Right,Third baseman,1906,1,4
144,,100145,Sugitaya,Mamoru,United States,,,Right,Right,Left fielder,1908,4,15
145,,100146,Omoda,Kano,United States,170,64,Right,Right,Center fielder,1909,10,19
146,,100147,Nishimura,Yukio,Japan,168,64,Right,Right,Pitcher,1910,11,10
147,,100148,Fujinami,Mitsuo,South Korea,157,56,Right,Right,Catcher,1911,2,11
148,,100149,Susumago,Den,Japan,170,60,Right,Right,Left fielder,1911,6,16
149,,100150,Ueda,Fujio,United States,173,64,Right,Right,Second baseman,1912,3,6
150,,100151,Nakamura,Saburo,Japan,173,68,Right,Right,Second baseman,1912,7,3
151,,100152,Terauchi,Kazutaka,Japan,173,64,Right,Right,Center fielder,1912,9,3
152,,100153,Tsutsui,Takao,Japan,168,56,Right,Right,Shortstop,1913,10,22
153,,100154,Ishida,Masayoshi,Japan,165,60,Right,Right,Center fielder,1914,1,7
154,,100155,Naruse,Yoshiteru,Japan,,,Right,Right,Pinch Hitter,1914,1,14
155,,100156,Murata,Shinichi,Japan,,,Right,Right,Catcher,1914,5,11
156,,100157,Oishi,Tsuna,Japan,170,68,Right,Right,Pitcher,1914,5,27
157,,100158,Ishimaru,Tokichi,Japan,168,59,Right,Right,Second baseman,1914,7,25
158,,100159,Ihara,Tokue,Japan,,,Right,Right,Catcher,1914,8,6
159,,100160,Ueda,Tadashi,Japan,,,Right,Right,Right fielder,1914,10,25
160,,100161,Matsumoto,Misao,Japan,170,56,Left,Left,Pitcher,1914,12,16
161,,100162,Ishii,Akio,Japan,173,68,Right,Right,Pitcher,1914,,
162,,100163,Furukawa,Masao,United States,,,Right,Right,Pitcher,1915,1,2
163,,100164,Suzuki,Tsuruo,Japan,170,68,Right,Right,Pitcher,1915,4,1
164,,100165,Mori,Kotaro,Japan,173,60,Right,Right,Pitcher,1915,5,29
165,,100166,Sasaki,Tsunesuke,Japan,168,60,Right,Right,Center fielder,1915,8,16
166,,100167,Matsumoto,Mitsuhiko,Japan,170,64,Right,Right,Catcher,1915,8,23
167,,100168,Okamoto,Toshizo,Japan,170,64,Right,Right,Second baseman,1915,10,20
168,,100169,Shiraki,Kazuji,Japan,183,71,Right,Right,Right fielder,1915,11,3
169,,100170,Takagi,Shigeru,Japan,168,68,Right,Right,Left fielder,1916,3,10
170,,100171,Kobayashi,Shigeta,Japan,173,60,Right,Right,Right fielder,1916,3,29
171,,100172,Kasamatsu,Minoru,Japan,170,64,Right,Right,Pitcher,1916,4,13
172,,100173,Matsuhiro,Kinichi,Japan,168,64,Left,Left,Right fielder,1916,4,15
173,,100174,Miura,Toshikazu,Japan,170,60,Right,Right,Catcher,1916,5,18
174,,100175,Go,Shosei,Taiwan,167,64,Left,Left,Center fielder,1916,6,28
175,,100176,Hashimoto,Shogo,Japan,,,Right,Left,Pitcher,1916,8,21
176,,100177,Osawa,Kiyoshi,Japan,173,70,Right,Right,First baseman,1916,12,1
177,,100178,Yamamoto,Hirochika,Japan,,,Right,Right,Shortstop,1916,,
178,,100179,Sayama,Masayoshi,Japan,,,Right,Right,Shortstop,1916,,
179,,100180,Fujino,Fumisaburo,Japan,175,68,Right,Right,Pitcher,1917,4,29
180,,100181,Nara,Tomoo,Japan,168,60,Right,Right,Second baseman,1917,6,20
181,,100182,Nakata,Takeo,Japan,163,66,Right,Right,Pitcher,1917,6,23
182,,100183,Nakayama,Tadayoshi,Japan,170,60,Right,Right,Pitcher,1917,7,13
183,,100184,Tanaka,Minoru,Japan,173,60,Right,Right,Pitcher,1917,7,14
184,,100185,Aoki,Shoichi,Japan,173,68,Right,Right,Pitcher,1917,8,10
185,,100186,Abe,Jushiro,Japan,,,,,Pitcher,1917,9,2
186,,100187,Hiruki,Torao,Japan,173,68,Right,Right,Third baseman,1917,9,9
187,,100188,Iwasaki,Toshio,Japan,175,64,Right,Right,Catcher,1917,9,30
188,,100189,Tamura,Minoru,Japan,,,Left,Left,Right fielder,1917,10,12
189,,100190,Ohara,Toshio,Japan,163,60,Right,Right,Catcher,1918,1,7
190,,100191,Hondo,Yasuji,Japan,165,65,Right,Right,Second baseman,1918,3,18
191,,100192,Hara,Ichiro,Japan,,,Right,Right,Catcher,1918,4,10
192,,100193,Ito,Kunio,Japan,,,Right,Right,Pitcher,1918,5,14
193,,100194,Tamai,Sakae,Japan,173,68,Right,Right,Left fielder,1918,5,26
194,,100195,Mochizuki,Junichi,Japan,175,71,Left,Left,Pitcher,1918,7,6
195,,100196,Hirayama,Kikuji,Japan,175,67,Right,Right,Left fielder,1918,9,23
196,,100197,Tsukamoto,Hiromutsu,Japan,163,60,Right,Right,Center fielder,1918,10,14
197,,100198,Hayashi,Shinichiro,Japan,170,64,Right,Right,First baseman,1918,12,22
198,,100199,Ota,Kenichi,Japan,173,64,Left,Left,Right fielder,1918,,
199,,100200,Minagawa,Sadayuki,Japan,160,60,Right,Right,Shortstop,1919,10,9
200,,100201,Tsuji,Nobuo,Japan,168,56,Right,Right,Shortstop,1920,,
201,,100202,Yokozawa,Saburo,Taiwan,168,56,Right,Right,Second baseman,1904,12,16
202,,100203,Mori,Shigeo,Japan,170,75,Right,Right,Pinch Hitter,1906,3,18
203,,100204,Moriguchi,Jiro,United States,170,60,Left,Left,Right fielder,1906,9,27
204,,100205,Tanaka,Yoshio,United States,,,Right,Right,Catcher,1907,4,2
205,,100206,Nishiike,Hidetaka,Japan,168,56,Right,Right,Pitcher,1911,,
206,,100207,Shioda,Ineo,Japan,178,62,Right,Right,Pitcher,1911,,
207,,100208,Yamada,Den,United States,163,56,Right,Left,Center fielder,1914,2,5
208,,100209,Nogami,Kiyomitsu,United States,,,Left,Right,Second baseman,1914,9,30
209,,100210,Hino,Hiromi,Japan,170,64,Right,Right,Catcher,1914,,
210,,100211,Yano,Makio,Japan,168,64,Right,Right,Third baseman,1915,,
211,,100212,Ando,Yukinori,Japan,,,Right,Right,Second baseman,1915,,
212,,100213,Shigeri,Sakae,Japan,168,60,Right,Right,Pitcher,1916,,
213,,100214,Tashiro,Sueo,Japan,165,64,Right,Right,Catcher,1916,,
214,,100215,Inoue,Yasuhiro,Japan,160,62,Right,Right,Second baseman,1918,6,2
215,,100216,Matsuo,Kozo,Japan,170,68,Left,Left,Pitcher,1918,6,20
216,,100217,Oki,Katsumi,Japan,168,60,Right,Right,Catcher,1918,8,19
217,,100218,Murasawa,Hideo,Japan,,,Left,Left,Pitcher,1918,,
218,,100219,Nakagawa,Miyoshi,Japan,173,64,Left,Left,Pitcher,1920,2,22
219,,100220,Nishizawa,Michio,Japan,183,73,Right,Right,First baseman,1921,9,1
220,,100221,Saito,Masahisa,,,,Right,Right,Pitcher,,,
221,,100222,Kameda,Tadashi,United States,176,83,Right,Right,Pitcher,1912,9,8
222,,100223,Mise,Mitsunori,Taiwan,168,56,Right,Right,Pinch Hitter,1913,,
223,,100224,Utsumi,Iso,Japan,173,68,Right,Right,First baseman,1914,2,19
224,,100225,Asai,Taro,Japan,,,Right,Right,First baseman,1914,5,18
225,,100226,Isono,Seiji,Japan,,,Right,Right,Shortstop,1915,,
226,,100227,Muroi,Yutaka,Japan,170,68,Right,Right,Catcher,1915,,
227,,100228,Okano,Hachiro,Japan,168,56,Right,Right,Third baseman,1916,12,8
228,,100229,Odano,Kashiwa,Japan,170,66,Right,Right,Left fielder,1917,1,14
229,,100230,Tsuri,Tsuneo,Japan,170,68,Right,Right,Pitcher,1917,9,9
230,,100231,Nomura,Takayoshi,Japan,170,64,Right,Right,Left fielder,1918,10,7
231,,100232,Murase,Ichizo,Japan,163,60,Right,Right,Shortstop,1918,11,7
232,,100233,Tsunekawa,Sukesaburo,Japan,170,60,Left,Left,Pitcher,1918,11,24
233,,100234,Yoshihara,Masaki,Japan,165,66,Right,Right,Catcher,1919,1,2
234,,100235,Santa,Masao,Japan,173,68,Right,Right,Left fielder,1919,1,4
235,,100236,Chiba,Shigeru,Japan,168,64,Right,Right,Second baseman,1919,5,10
236,,100237,Kinoshita,Masafumi,Japan,173,66,Right,Right,Third baseman,1919,11,29
237,,100238,Takahashi,Satoshi,Japan,168,60,Right,Right,Pitcher,1919,,
238,,100239,Hamazaki,Hiroshi,Japan,,,Right,Right,Second baseman,1919,,
239,,100240,Kawakami,Tetsuharu,Japan,173,75,Left,Left,First baseman,1920,3,23
240,,100241,Mukasa,Shigeo,Japan,173,60,Right,Right,Left fielder,1920,,
241,,100242,Yamada,Kiyoshi,Japan,165,58,Right,Right,Shortstop,1921,1,16
242,,100243,Ryu,Sesho,China,175,64,Right,Right,Pitcher,1911,,
243,,100244,Takano,Momosuke,Japan,,,Right,Right,Left fielder,1912,7,9
244,,100245,Nakamura,Kinji,Japan,173,75,Right,Right,First baseman,1912,8,25
245,,100246,Kishimoto,Shoji,Japan,,,Right,Right,First baseman,1912,,
246,,100247,Suzuki,Yoshitaro,Japan,,,Right,Right,Third baseman,1913,11,8
247,,100248,Ueda,Yoshio,United States,170,60,Right,Right,Second baseman,1914,7,10
248,,100249,Naya,Yonekichi,Japan,,,Right,Right,Pitcher,1914,7,15
249,,100250,Kaizoji,Koji,Japan,163,60,Right,Right,Right fielder,1915,9,20
250,,100251,Nakada,Michinobu,Japan,168,64,Right,Right,Catcher,1915,11,1
251,,100252,Hirai,Isaburo,Japan,163,60,Right,Right,Left fielder,1916,12,8
252,,100253,Kaino,Daichi,Japan,,,Right,Right,Second baseman,1916,,
253,,100254,Tamakoshi,Toshio,Japan,168,64,Right,Right,First baseman,1917,10,17
254,,100255,Nakano,Masao,Japan,173,68,Right,Right,First baseman,1918,2,15
255,,100256,Nakatani,Junji,Japan,178,68,Right,Right,Third baseman,1918,4,19
256,,100257,Sakazawa,Masao,Japan,168,60,Right,Right,Second baseman,1918,5,1
257,,100258,Kurio,Nobuo,Japan,168,60,Right,Right,First baseman,1918,6,4
258,,100259,Kobayashi,Goro,Japan,163,60,Right,Right,Shortstop,1918,8,8
259,,100260,Yoshikawa,Yoshitsugu,Japan,168,64,Right,Right,Catcher,1918,10,10
260,,100261,Isobe,Takeo,Japan,170,60,Right,Right,Pitcher,1918,,
261,,100262,Nishibata,Toshiro,Japan,168,60,Right,Right,Second baseman,1918,,
262,,100263,Kobayashi,Zenichiro,Japan,,,Right,Right,Second baseman,1918,,
263,,100264,Ito,Tsunemori,Japan,168,60,Right,Right,First baseman,1918,,
264,,100265,Shimomura,Yutaka,Taiwan,175,64,Right,Right,Shortstop,1918,,
265,,100266,Fukushi,Isamu,Japan,170,56,Right,Right,Pitcher,1919,6,14
266,,100267,Takakubo,Toyozo,Japan,,,Right,Right,Left fielder,1919,,
267,,100268,Miyaguchi,Yoshikichi,Japan,175,71,Left,Left,Pitcher,1919,,
268,,100269,Umemoto,Masao,Japan,,,Right,Right,Pinch Hitter,1919,,
269,,100270,Fushimi,Goro,Japan,168,60,Right,Right,Catcher,1919,,
270,,100271,Yamao,Toshikazu,Japan,173,68,Right,Right,Center fielder,1919,,
271,,100272,Nagai,Masahisa,Japan,,,Right,Right,Second baseman,1919,,
272,,100273,Kinoshita,Isamu,Japan,173,68,Right,Right,Pitcher,1920,4,10
273,,100274,Ishii,Takeo,Japan,173,64,Right,Right,First baseman,1920,5,13
274,,100275,Kusunoki,Yasuo,Japan,175,70,Right,Right,Catcher,1920,6,21
275,,100276,Nagashima,Susumu,Japan,170,64,Right,Right,Catcher,1920,7,4
276,,100277,Masano,Iwao,Japan,170,64,Right,Right,Pitcher,1920,8,25
277,,100278,Iwamoto,Akira,Japan,170,65,Right,Right,Left fielder,1921,1,14
278,,100279,Takada,Katsuo,Japan,,,Right,Right,First baseman,1904,,
279,,100280,Rivera,Adelano,Philippines,173,64,Right,Right,Center fielder,1910,,
280,,100281,Boku (Hyeon-Myeong Park),Kenmei,North Korea,179,71,Right,Right,Pitcher,1911,,
281,,100282,Okamura,Toshiaki,Taiwan,170,60,Left,Right,Right fielder,1912,5,4
282,,100283,Arakawa,Masayoshi,Japan,173,64,Right,Right,Pinch Hitter,1912,,
283,,100284,Kato,Shoji,Japan,175,75,Right,Right,Right fielder,1914,3,3
284,,100285,Takasu,Kiyoshi,Japan,168,71,Right,Right,Second baseman,1914,4,28
285,,100286,Shintomi,Usaburo,Japan,,,Right,Right,First baseman,1915,2,13
286,,100287,Kojima,Otoo,Japan,,,Right,Right,Catcher,1915,2,20
287,,100288,Yoshida,Isaki,Japan,175,75,Right,Right,Left fielder,1915,7,24
288,,100289,Kan,Toshio,Japan,168,64,Right,Right,First baseman,1916,4,12
289,,100290,Tsuruoka,Kazuto,Japan,173,68,Right,Right,Third baseman,1916,7,27
290,,100291,Okamoto,Toshiyuki,Japan,173,68,Right,Right,Catcher,1916,11,27
291,,100292,Omiya,Kiyoshi,Japan,170,60,Right,Right,Pitcher,1916,,
292,,100293,Yamamoto,Aiichiro,Japan,,,Right,Right,Third baseman,1916,,
293,,100294,Tomimatsu,Nobuhiko,Japan,170,64,Left,Left,Center fielder,1917,7,12
294,,100295,Iwade,Kiyoshi,Japan,168,63,Left,Left,Right fielder,1918,1,8
295,,100296,Suzukida,Tomaru,Japan,173,71,Right,Right,Left fielder,1918,1,9
296,,100297,Kameda,Toshio,United States,167,64,Left,Left,Pitcher,1918,6,27
297,,100298,Okamoto,Kazuo,Japan,168,62,Right,Right,Catcher,1918,,
298,,100299,Doi,Shozo,Japan,170,63,Right,Right,Third baseman,1918,,
299,,100300,Noguchi,Jiro,Japan,175,64,Right,Right,Pitcher,1919,1,6
300,,100301,Kunihisa,Shoichi,Japan,168,67,Right,Right,Second baseman,1919,5,15
301,,100302,Yamane,Minoru,Japan,173,68,Right,Right,Left fielder,1919,6,14
302,,100303,Seike,Chutaro,Japan,170,64,Right,Right,Catcher,1919,7,12
303,,100304,Mori,Kunigoro,Japan,163,56,Left,Left,Center fielder,1919,9,1
304,,100305,Tanaka,Yukio,Japan,170,60,Right,Right,Shortstop,1919,9,19
305,,100306,Izutsu,Kenichi,Japan,170,60,Right,Right,Pitcher,1919,11,28
306,,100307,Nakao,Teruzo,Japan,175,71,Left,Left,Pitcher,1919,12,1
307,,100308,Amakawa,Seizaburo,Japan,170,67,Right,Right,Pitcher,1919,12,27
308,,100309,Kimura,Shinichi,Japan,,,Right,Right,Shortstop,1919,12,30
309,,100310,Yanagi,Tsuruji,Japan,170,64,Right,Right,Shortstop,1919,,
310,,100311,Morita,Minoru,Japan,170,62,Left,Left,Center fielder,1919,,
311,,100312,Kobayashi,Yoshio,Japan,168,66,Right,Right,Third baseman,1919,,
312,,100313,Matsuoka,Koji,Japan,165,59,Right,Right,Shortstop,1919,,
313,,100314,Nagao,Sadatoshi,Japan,178,64,Right,Right,Pitcher,1919,,
314,,100315,Hirano,Shotaro,Japan,175,64,Right,Right,Pitcher,1919,,
315,,100316,Araki,Masakimi,Japan,168,63,Right,Right,Pitcher,1919,,
316,,100317,Iwagaki,Jiro,Japan,163,60,Left,Left,Left fielder,1920,1,1
317,,100318,Hattori,Tsuguhiro,Japan,170,63,Right,Right,Pitcher,1920,2,23
